t0.0,t0.05,t0.1,t0.15,t0.2,t0.25,t0.3,t0.35,t0.4,t0.45,t0.5,t0.55,t0.6,t0.65
"(0.0,0.04,1.0)","(1.69,-0.08,0.99)","(3.38,-0.05,0.95)","(5.07,-0.02,0.89)","(6.76,0.09,0.8)","(8.45,0.05,0.69)","(10.14,0.07,0.56)","(11.83,-0.09,0.4)","(13.53,-0.09,0.22)","(15.22,0.06,0.01)","(16.91,0.01,0)","(18.6,0.08,0)","(20.29,-0.02,0)",
"(0.0,-0.01,1.0)","(1.68,0.02,0.99)","(3.37,0.03,0.95)","(5.05,-0.03,0.89)","(6.74,0.04,0.8)","(8.42,-0.09,0.69)","(10.1,0.03,0.56)","(11.79,-0.01,0.4)","(13.47,0.07,0.22)","(15.16,-0.01,0.01)","(16.84,-0.08,0)","(18.52,0.01,0)","(20.21,-0.06,0)",
"(0.0,0.06,1.0)","(1.98,0.09,0.99)","(3.96,0.1,0.95)","(5.94,0.06,0.89)","(7.91,-0.03,0.8)","(9.89,-0.01,0.69)","(11.87,0.04,0.56)","(13.85,-0.09,0.4)","(15.83,0.01,0.22)","(17.81,0.09,0.01)","(19.78,-0.0,0)","(21.76,-0.01,0)",,
"(0.0,-0.06,1.0)","(2.04,0.07,0.99)","(4.07,0.07,0.95)","(6.11,0.01,0.89)","(8.15,-0.02,0.8)","(10.18,0.05,0.69)","(12.22,-0.1,0.56)","(14.26,0.04,0.4)","(16.3,0.02,0.22)","(18.33,-0.08,0.01)","(20.37,-0.02,0)",,,
"(0.0,0.09,1.0)","(1.77,-0.0,0.99)","(3.54,-0.09,0.95)","(5.32,0.02,0.89)","(7.09,-0.09,0.8)","(8.86,-0.09,0.69)","(10.63,0.06,0.56)","(12.4,-0.04,0.4)","(14.17,-0.03,0.22)","(15.95,-0.04,0.01)","(17.72,-0.08,0)","(19.49,-0.04,0)","(21.26,-0.05,0)",
"(0.0,0.01,1.0)","(1.71,0.01,0.99)","(3.41,-0.05,0.95)","(5.12,0.07,0.89)","(6.83,-0.05,0.8)","(8.54,-0.01,0.69)","(10.24,0.0,0.56)","(11.95,-0.02,0.4)","(13.66,-0.04,0.22)","(15.37,-0.01,0.01)","(17.07,0.03,0)","(18.78,-0.08,0)","(20.49,0.06,0)",
"(0.0,-0.03,1.0)","(1.84,-0.05,0.99)","(3.68,-0.06,0.95)","(5.51,-0.02,0.89)","(7.35,-0.01,0.8)","(9.19,0.04,0.69)","(11.03,-0.1,0.56)","(12.87,0.08,0.4)","(14.7,-0.03,0.22)","(16.54,-0.09,0.01)","(18.38,-0.05,0)","(20.22,0.06,0)",,
"(0.0,0.05,1.0)","(2.0,-0.01,0.99)","(3.99,-0.09,0.95)","(5.99,-0.08,0.89)","(7.99,0.1,0.8)","(9.98,0.06,0.69)","(11.98,0.0,0.56)","(13.97,-0.08,0.4)","(15.97,-0.06,0.22)","(17.97,-0.06,0.01)","(19.96,0.03,0)","(21.96,-0.02,0)",,
"(0.0,0.04,1.0)","(1.89,-0.02,0.99)","(3.78,0.09,0.95)","(5.67,-0.01,0.89)","(7.55,0.03,0.8)","(9.44,0.05,0.69)","(11.33,0.05,0.56)","(13.22,-0.03,0.4)","(15.11,-0.03,0.22)","(17.0,0.09,0.01)","(18.89,-0.07,0)","(20.77,0.05,0)",,
"(0.0,-0.06,1.0)","(1.75,0.1,0.99)","(3.5,0.08,0.95)","(5.26,-0.1,0.89)","(7.01,0.04,0.8)","(8.76,-0.09,0.69)","(10.51,-0.02,0.56)","(12.27,-0.05,0.4)","(14.02,-0.01,0.22)","(15.77,0.04,0.01)","(17.52,-0.04,0)","(19.27,0.1,0)","(21.03,-0.04,0)",
"(0.0,0.07,1.0)","(1.79,-0.06,0.99)","(3.58,0.06,0.95)","(5.37,0.04,0.89)","(7.16,0.0,0.8)","(8.95,-0.06,0.69)","(10.74,0.03,0.56)","(12.53,0.1,0.4)","(14.32,0.02,0.22)","(16.11,0.04,0.01)","(17.9,0.07,0)","(19.69,-0.06,0)","(21.48,-0.03,0)",
"(0.0,-0.07,1.0)","(1.88,-0.03,0.99)","(3.76,-0.06,0.95)","(5.64,-0.01,0.89)","(7.53,0.04,0.8)","(9.41,0.04,0.69)","(11.29,0.03,0.56)","(13.17,-0.09,0.4)","(15.05,-0.08,0.22)","(16.93,0.03,0.01)","(18.81,0.0,0)","(20.69,0.04,0)",,
"(0.0,-0.05,1.0)","(1.79,0.02,0.99)","(3.58,-0.0,0.95)","(5.36,-0.03,0.89)","(7.15,-0.01,0.8)","(8.94,-0.04,0.69)","(10.73,0.05,0.56)","(12.52,-0.09,0.4)","(14.3,0.09,0.22)","(16.09,-0.08,0.01)","(17.88,0.04,0)","(19.67,-0.08,0)","(21.46,-0.06,0)",
"(0.0,-0.03,1.0)","(1.85,-0.03,0.99)","(3.7,0.03,0.95)","(5.55,-0.02,0.89)","(7.4,0.03,0.8)","(9.25,-0.04,0.69)","(11.1,-0.01,0.56)","(12.95,0.08,0.4)","(14.8,-0.07,0.22)","(16.65,0.04,0.01)","(18.5,-0.07,0)","(20.35,-0.07,0)",,
"(0.0,-0.02,1.0)","(1.97,0.07,0.99)","(3.93,-0.09,0.95)","(5.9,-0.04,0.89)","(7.86,0.1,0.8)","(9.83,-0.04,0.69)","(11.8,-0.1,0.56)","(13.76,0.09,0.4)","(15.73,-0.09,0.22)","(17.7,-0.03,0.01)","(19.66,-0.09,0)","(21.63,0.03,0)",,
"(0.0,-0.09,1.0)","(1.86,-0.05,0.99)","(3.72,0.05,0.95)","(5.58,-0.02,0.89)","(7.44,-0.07,0.8)","(9.3,-0.07,0.69)","(11.16,0.05,0.56)","(13.02,0.0,0.4)","(14.88,-0.06,0.22)","(16.74,0.0,0.01)","(18.6,-0.1,0)","(20.46,0.0,0)",,
"(0.0,0.01,1.0)","(1.99,0.03,0.99)","(3.98,0.09,0.95)","(5.97,-0.06,0.89)","(7.96,-0.06,0.8)","(9.96,0.01,0.69)","(11.95,0.03,0.56)","(13.94,0.05,0.4)","(15.93,0.09,0.22)","(17.92,0.03,0.01)","(19.91,-0.05,0)","(21.9,0.04,0)",,
"(0.0,0.1,1.0)","(1.75,-0.04,0.99)","(3.49,0.07,0.95)","(5.24,0.04,0.89)","(6.98,-0.04,0.8)","(8.73,0.09,0.69)","(10.47,0.07,0.56)","(12.22,-0.01,0.4)","(13.96,0.01,0.22)","(15.71,-0.09,0.01)","(17.45,0.1,0)","(19.2,-0.04,0)","(20.94,0.05,0)",
"(0.0,-0.05,1.0)","(2.07,-0.08,0.99)","(4.13,-0.08,0.95)","(6.2,0.0,0.89)","(8.26,-0.02,0.8)","(10.33,-0.01,0.69)","(12.39,0.08,0.56)","(14.46,-0.02,0.4)","(16.52,-0.08,0.22)","(18.59,0.05,0.01)","(20.65,-0.07,0)",,,
"(0.0,0.03,1.0)","(1.72,0.09,0.99)","(3.43,0.1,0.95)","(5.15,-0.04,0.89)","(6.86,-0.0,0.8)","(8.58,0.01,0.69)","(10.29,-0.0,0.56)","(12.01,-0.06,0.4)","(13.72,0.04,0.22)","(15.44,0.01,0.01)","(17.15,0.01,0)","(18.87,-0.01,0)","(20.58,0.0,0)",
"(0.0,0.03,1.0)","(1.99,-0.07,0.99)","(3.98,-0.09,0.95)","(5.97,-0.01,0.89)","(7.96,0.0,0.8)","(9.95,0.08,0.69)","(11.94,0.01,0.56)","(13.93,0.07,0.4)","(15.92,-0.04,0.22)","(17.91,0.04,0.01)","(19.89,-0.0,0)","(21.88,0.04,0)",,
"(0.0,0.04,1.0)","(2.0,0.1,0.99)","(4.0,-0.01,0.95)","(6.0,0.05,0.89)","(8.0,-0.03,0.8)","(10.0,-0.04,0.69)","(12.0,0.02,0.56)","(14.0,0.1,0.4)","(16.0,-0.02,0.22)","(18.0,-0.01,0.01)","(20.0,-0.04,0)","(22.0,0.09,0)",,
"(0.0,0.05,1.0)","(1.97,0.04,0.99)","(3.95,-0.05,0.95)","(5.92,-0.09,0.89)","(7.9,-0.02,0.8)","(9.87,0.07,0.69)","(11.85,-0.02,0.56)","(13.82,0.0,0.4)","(15.8,-0.05,0.22)","(17.77,-0.04,0.01)","(19.74,-0.03,0)","(21.72,0.06,0)",,
"(0.0,0.09,1.0)","(1.91,0.0,0.99)","(3.82,-0.09,0.95)","(5.73,0.09,0.89)","(7.65,0.09,0.8)","(9.56,0.04,0.69)","(11.47,0.08,0.56)","(13.38,-0.09,0.4)","(15.29,-0.03,0.22)","(17.2,0.0,0.01)","(19.11,0.03,0)","(21.03,-0.09,0)",,
"(0.0,-0.03,1.0)","(1.98,-0.05,0.99)","(3.96,0.03,0.95)","(5.94,0.04,0.89)","(7.92,-0.08,0.8)","(9.9,-0.04,0.69)","(11.88,0.06,0.56)","(13.86,0.01,0.4)","(15.84,0.04,0.22)","(17.82,0.06,0.01)","(19.8,-0.0,0)","(21.78,-0.08,0)",,
"(0.0,-0.04,1.0)","(1.81,-0.03,0.99)","(3.62,-0.04,0.95)","(5.42,-0.07,0.89)","(7.23,0.02,0.8)","(9.04,-0.0,0.69)","(10.85,-0.09,0.56)","(12.65,-0.09,0.4)","(14.46,-0.05,0.22)","(16.27,0.05,0.01)","(18.08,0.07,0)","(19.88,-0.0,0)","(21.69,-0.01,0)",
"(0.0,0.03,1.0)","(2.01,0.06,0.99)","(4.02,-0.08,0.95)","(6.03,0.01,0.89)","(8.04,-0.09,0.8)","(10.05,0.09,0.69)","(12.06,-0.08,0.56)","(14.07,-0.08,0.4)","(16.07,-0.08,0.22)","(18.08,-0.03,0.01)","(20.09,-0.01,0)","(22.1,-0.05,0)",,
"(0.0,0.09,1.0)","(1.9,-0.03,0.99)","(3.8,-0.06,0.95)","(5.7,0.09,0.89)","(7.6,-0.07,0.8)","(9.5,-0.06,0.69)","(11.41,0.01,0.56)","(13.31,0.05,0.4)","(15.21,0.1,0.22)","(17.11,0.09,0.01)","(19.01,-0.02,0)","(20.91,0.09,0)",,
"(0.0,0.06,1.0)","(1.86,0.05,0.99)","(3.72,-0.02,0.95)","(5.58,-0.0,0.89)","(7.44,-0.05,0.8)","(9.3,-0.07,0.69)","(11.16,0.03,0.56)","(13.02,-0.04,0.4)","(14.88,0.07,0.22)","(16.74,0.09,0.01)","(18.6,0.09,0)","(20.46,0.07,0)",,
"(0.0,-0.02,1.0)","(1.87,0.06,0.99)","(3.73,-0.08,0.95)","(5.6,-0.02,0.89)","(7.46,-0.1,0.8)","(9.33,0.03,0.69)","(11.19,-0.02,0.56)","(13.06,0.06,0.4)","(14.92,0.01,0.22)","(16.79,-0.01,0.01)","(18.65,-0.05,0)","(20.52,0.03,0)",,
"(0.0,0.02,1.0)","(1.79,0.07,0.99)","(3.58,0.09,0.95)","(5.38,-0.05,0.89)","(7.17,0.01,0.8)","(8.96,-0.07,0.69)","(10.75,-0.06,0.56)","(12.54,-0.06,0.4)","(14.33,-0.09,0.22)","(16.13,-0.02,0.01)","(17.92,-0.1,0)","(19.71,0.05,0)","(21.5,-0.03,0)",
"(0.0,-0.1,1.0)","(1.96,0.06,0.99)","(3.93,0.04,0.95)","(5.89,-0.07,0.89)","(7.86,-0.07,0.8)","(9.82,0.06,0.69)","(11.79,0.09,0.56)","(13.75,-0.02,0.4)","(15.72,-0.05,0.22)","(17.68,-0.05,0.01)","(19.64,-0.08,0)","(21.61,-0.02,0)",,
"(0.0,-0.03,1.0)","(1.83,0.02,0.99)","(3.66,0.02,0.95)","(5.48,0.0,0.89)","(7.31,0.04,0.8)","(9.14,-0.02,0.69)","(10.97,-0.02,0.56)","(12.79,0.06,0.4)","(14.62,0.06,0.22)","(16.45,-0.03,0.01)","(18.28,0.06,0)","(20.1,-0.06,0)","(21.93,0.01,0)",
"(0.0,0.09,1.0)","(1.86,-0.03,0.99)","(3.72,0.01,0.95)","(5.58,-0.0,0.89)","(7.44,0.04,0.8)","(9.29,0.01,0.69)","(11.15,-0.09,0.56)","(13.01,0.09,0.4)","(14.87,0.06,0.22)","(16.73,0.02,0.01)","(18.59,0.05,0)","(20.45,-0.01,0)",,
"(0.0,-0.02,1.0)","(1.71,-0.0,0.99)","(3.43,0.01,0.95)","(5.14,-0.09,0.89)","(6.86,-0.04,0.8)","(8.57,-0.08,0.69)","(10.29,0.03,0.56)","(12.0,-0.07,0.4)","(13.72,0.05,0.22)","(15.43,0.07,0.01)","(17.15,-0.07,0)","(18.86,0.07,0)","(20.58,0.03,0)",
"(0.0,-0.1,1.0)","(1.93,0.08,0.99)","(3.86,-0.07,0.95)","(5.79,-0.02,0.89)","(7.72,-0.05,0.8)","(9.66,-0.04,0.69)","(11.59,0.07,0.56)","(13.52,-0.03,0.4)","(15.45,0.09,0.22)","(17.38,0.09,0.01)","(19.31,0.06,0)","(21.24,0.04,0)",,
"(0.0,0.06,1.0)","(1.79,-0.01,0.99)","(3.58,0.09,0.95)","(5.37,-0.04,0.89)","(7.15,-0.02,0.8)","(8.94,0.06,0.69)","(10.73,-0.02,0.56)","(12.52,0.07,0.4)","(14.31,0.01,0.22)","(16.1,0.05,0.01)","(17.89,-0.01,0)","(19.68,-0.08,0)","(21.46,-0.01,0)",
"(0.0,-0.05,1.0)","(2.02,-0.1,0.99)","(4.04,0.02,0.95)","(6.07,-0.06,0.89)","(8.09,0.04,0.8)","(10.11,-0.04,0.69)","(12.13,0.01,0.56)","(14.15,-0.07,0.4)","(16.18,-0.08,0.22)","(18.2,-0.04,0.01)","(20.22,-0.08,0)",,,
"(0.0,-0.07,1.0)","(1.81,-0.1,0.99)","(3.62,0.1,0.95)","(5.43,0.05,0.89)","(7.24,0.05,0.8)","(9.05,-0.0,0.69)","(10.86,0.1,0.56)","(12.67,0.07,0.4)","(14.48,0.07,0.22)","(16.29,0.07,0.01)","(18.1,0.1,0)","(19.91,-0.08,0)","(21.72,-0.06,0)",
"(0.0,0.01,1.0)","(1.68,0.06,0.99)","(3.36,-0.1,0.95)","(5.04,-0.1,0.89)","(6.73,-0.03,0.8)","(8.41,-0.06,0.69)","(10.09,-0.01,0.56)","(11.77,-0.1,0.4)","(13.45,0.08,0.22)","(15.13,-0.05,0.01)","(16.82,0.01,0)","(18.5,-0.05,0)","(20.18,0.0,0)",
"(0.0,0.05,1.0)","(1.8,-0.07,0.99)","(3.6,0.02,0.95)","(5.4,-0.03,0.89)","(7.2,-0.07,0.8)","(9.0,-0.05,0.69)","(10.79,0.01,0.56)","(12.59,-0.04,0.4)","(14.39,0.0,0.22)","(16.19,0.05,0.01)","(17.99,-0.06,0)","(19.79,-0.03,0)","(21.59,0.04,0)",
"(0.0,-0.01,1.0)","(2.0,-0.04,0.99)","(4.0,0.08,0.95)","(6.0,0.08,0.89)","(8.0,0.08,0.8)","(10.0,0.05,0.69)","(12.0,-0.03,0.56)","(14.0,-0.06,0.4)","(16.0,-0.03,0.22)","(18.0,-0.07,0.01)","(20.0,0.04,0)","(22.0,0.06,0)",,
"(0.0,0.02,1.0)","(1.82,-0.01,0.99)","(3.65,0.04,0.95)","(5.47,-0.01,0.89)","(7.29,-0.09,0.8)","(9.11,0.05,0.69)","(10.94,-0.07,0.56)","(12.76,0.03,0.4)","(14.58,0.04,0.22)","(16.41,0.06,0.01)","(18.23,-0.05,0)","(20.05,0.02,0)","(21.87,-0.05,0)",
"(0.0,0.06,1.0)","(1.84,0.01,0.99)","(3.67,0.01,0.95)","(5.51,-0.05,0.89)","(7.35,0.07,0.8)","(9.19,0.09,0.69)","(11.02,-0.03,0.56)","(12.86,-0.06,0.4)","(14.7,0.06,0.22)","(16.54,0.06,0.01)","(18.37,-0.01,0)","(20.21,-0.02,0)",,
"(0.0,-0.05,1.0)","(1.75,0.1,0.99)","(3.51,-0.02,0.95)","(5.26,0.04,0.89)","(7.02,0.06,0.8)","(8.77,0.02,0.69)","(10.52,0.05,0.56)","(12.28,0.09,0.4)","(14.03,0.08,0.22)","(15.79,-0.01,0.01)","(17.54,-0.07,0)","(19.29,-0.0,0)","(21.05,0.07,0)",
"(0.0,0.01,1.0)","(2.08,-0.03,0.99)","(4.16,0.02,0.95)","(6.24,-0.05,0.89)","(8.32,-0.09,0.8)","(10.4,0.02,0.69)","(12.48,0.06,0.56)","(14.56,-0.09,0.4)","(16.64,0.06,0.22)","(18.72,-0.03,0.01)","(20.8,0.04,0)",,,
"(0.0,-0.04,1.0)","(1.79,0.03,0.99)","(3.58,-0.06,0.95)","(5.38,-0.09,0.89)","(7.17,-0.03,0.8)","(8.96,0.08,0.69)","(10.75,0.05,0.56)","(12.55,0.1,0.4)","(14.34,0.04,0.22)","(16.13,0.05,0.01)","(17.92,-0.01,0)","(19.71,-0.06,0)","(21.51,-0.09,0)",
"(0.0,0.07,1.0)","(1.94,0.05,0.99)","(3.88,-0.02,0.95)","(5.82,0.01,0.89)","(7.76,0.07,0.8)","(9.71,0.05,0.69)","(11.65,0.07,0.56)","(13.59,-0.02,0.4)","(15.53,0.03,0.22)","(17.47,-0.08,0.01)","(19.41,-0.0,0)","(21.35,-0.09,0)",,
"(0.0,0.05,1.0)","(1.7,-0.05,0.99)","(3.39,-0.09,0.95)","(5.09,0.07,0.89)","(6.78,-0.03,0.8)","(8.48,-0.01,0.69)","(10.17,-0.07,0.56)","(11.87,0.07,0.4)","(13.56,-0.09,0.22)","(15.26,0.0,0.01)","(16.96,-0.06,0)","(18.65,-0.09,0)","(20.35,0.07,0)",
"(0.0,-0.06,1.0)","(1.95,-0.03,0.99)","(3.9,-0.01,0.95)","(5.85,0.05,0.89)","(7.79,-0.06,0.8)","(9.74,0.09,0.69)","(11.69,-0.06,0.56)","(13.64,-0.03,0.4)","(15.59,0.09,0.22)","(17.54,-0.01,0.01)","(19.48,-0.08,0)","(21.43,-0.06,0)",,
"(0.0,-0.08,1.0)","(1.84,0.03,0.99)","(3.68,-0.08,0.95)","(5.53,0.01,0.89)","(7.37,-0.08,0.8)","(9.21,0.0,0.69)","(11.05,-0.04,0.56)","(12.89,0.08,0.4)","(14.74,0.02,0.22)","(16.58,-0.08,0.01)","(18.42,0.05,0)","(20.26,0.04,0)",,
"(0.0,-0.02,1.0)","(1.78,0.02,0.99)","(3.56,0.04,0.95)","(5.34,0.06,0.89)","(7.13,0.02,0.8)","(8.91,0.09,0.69)","(10.69,0.1,0.56)","(12.47,0.09,0.4)","(14.25,-0.05,0.22)","(16.03,0.09,0.01)","(17.82,0.02,0)","(19.6,0.05,0)","(21.38,-0.08,0)",
"(0.0,0.06,1.0)","(1.87,0.05,0.99)","(3.74,-0.01,0.95)","(5.62,0.04,0.89)","(7.49,0.02,0.8)","(9.36,-0.05,0.69)","(11.23,0.09,0.56)","(13.11,-0.04,0.4)","(14.98,0.09,0.22)","(16.85,0.08,0.01)","(18.72,-0.08,0)","(20.6,0.08,0)",,
"(0.0,-0.04,1.0)","(1.92,0.07,0.99)","(3.84,0.09,0.95)","(5.76,0.01,0.89)","(7.68,-0.04,0.8)","(9.6,-0.09,0.69)","(11.52,0.08,0.56)","(13.44,0.0,0.4)","(15.36,-0.06,0.22)","(17.28,0.1,0.01)","(19.2,-0.07,0)","(21.12,-0.06,0)",,
"(0.0,0.03,1.0)","(1.85,0.03,0.99)","(3.69,0.1,0.95)","(5.54,0.04,0.89)","(7.39,-0.05,0.8)","(9.23,-0.06,0.69)","(11.08,-0.06,0.56)","(12.92,-0.04,0.4)","(14.77,0.08,0.22)","(16.62,0.02,0.01)","(18.46,-0.02,0)","(20.31,0.02,0)",,
"(0.0,0.05,1.0)","(1.67,0.08,0.99)","(3.35,-0.04,0.95)","(5.02,-0.09,0.89)","(6.69,-0.0,0.8)","(8.37,-0.04,0.69)","(10.04,-0.08,0.56)","(11.71,-0.05,0.4)","(13.39,0.01,0.22)","(15.06,-0.08,0.01)","(16.73,-0.08,0)","(18.41,-0.01,0)","(20.08,0.08,0)","(21.75,-0.09,0)"
"(0.0,-0.1,1.0)","(2.01,0.0,0.99)","(4.03,0.06,0.95)","(6.04,-0.02,0.89)","(8.05,0.08,0.8)","(10.06,0.03,0.69)","(12.08,0.09,0.56)","(14.09,-0.02,0.4)","(16.1,-0.0,0.22)","(18.11,0.05,0.01)","(20.13,0.07,0)",,,
"(0.0,0.09,1.0)","(1.82,-0.0,0.99)","(3.63,0.01,0.95)","(5.45,-0.0,0.89)","(7.27,0.01,0.8)","(9.09,0.1,0.69)","(10.9,0.05,0.56)","(12.72,0.1,0.4)","(14.54,-0.09,0.22)","(16.36,-0.0,0.01)","(18.17,0.04,0)","(19.99,-0.07,0)","(21.81,-0.04,0)",
"(0.0,-0.04,1.0)","(1.81,0.07,0.99)","(3.63,0.06,0.95)","(5.44,-0.08,0.89)","(7.25,0.08,0.8)","(9.06,-0.01,0.69)","(10.88,-0.04,0.56)","(12.69,0.06,0.4)","(14.5,-0.04,0.22)","(16.31,-0.09,0.01)","(18.13,-0.0,0)","(19.94,0.03,0)","(21.75,-0.08,0)",
"(0.0,-0.04,1.0)","(1.8,-0.02,0.99)","(3.59,-0.05,0.95)","(5.39,-0.08,0.89)","(7.18,0.06,0.8)","(8.98,-0.02,0.69)","(10.78,0.0,0.56)","(12.57,0.04,0.4)","(14.37,0.03,0.22)","(16.17,-0.04,0.01)","(17.96,-0.08,0)","(19.76,0.01,0)","(21.55,-0.0,0)",
"(0.0,-0.01,1.0)","(2.03,-0.06,0.99)","(4.06,0.01,0.95)","(6.08,0.03,0.89)","(8.11,0.05,0.8)","(10.14,0.09,0.69)","(12.17,0.01,0.56)","(14.2,-0.04,0.4)","(16.22,-0.05,0.22)","(18.25,0.04,0.01)","(20.28,0.1,0)",,,
"(0.0,-0.1,1.0)","(2.06,-0.0,0.99)","(4.11,0.06,0.95)","(6.17,-0.07,0.89)","(8.22,-0.07,0.8)","(10.28,0.02,0.69)","(12.34,0.06,0.56)","(14.39,-0.09,0.4)","(16.45,-0.03,0.22)","(18.5,0.05,0.01)","(20.56,-0.02,0)",,,
"(0.0,-0.05,1.0)","(2.0,-0.09,0.99)","(4.0,0.03,0.95)","(6.0,-0.01,0.89)","(8.01,0.1,0.8)","(10.01,0.01,0.69)","(12.01,-0.09,0.56)","(14.01,0.06,0.4)","(16.01,-0.06,0.22)","(18.01,-0.01,0.01)","(20.01,0.04,0)","(22.02,0.04,0)",,
"(0.0,0.04,1.0)","(1.97,-0.1,0.99)","(3.93,-0.02,0.95)","(5.9,0.03,0.89)","(7.87,-0.01,0.8)","(9.83,0.01,0.69)","(11.8,0.02,0.56)","(13.77,-0.04,0.4)","(15.74,-0.03,0.22)","(17.7,0.07,0.01)","(19.67,-0.06,0)","(21.64,0.07,0)",,
"(0.0,0.02,1.0)","(1.76,0.0,0.99)","(3.52,0.0,0.95)","(5.27,-0.04,0.89)","(7.03,0.06,0.8)","(8.79,0.04,0.69)","(10.55,-0.03,0.56)","(12.31,-0.05,0.4)","(14.07,-0.04,0.22)","(15.82,-0.09,0.01)","(17.58,-0.01,0)","(19.34,0.1,0)","(21.1,0.02,0)",
"(0.0,-0.07,1.0)","(1.85,0.1,0.99)","(3.71,-0.08,0.95)","(5.56,-0.03,0.89)","(7.41,-0.06,0.8)","(9.27,0.07,0.69)","(11.12,-0.0,0.56)","(12.97,0.03,0.4)","(14.82,-0.03,0.22)","(16.68,-0.06,0.01)","(18.53,0.01,0)","(20.38,0.03,0)",,
"(0.0,-0.05,1.0)","(1.69,-0.09,0.99)","(3.39,-0.06,0.95)","(5.08,0.02,0.89)","(6.77,0.01,0.8)","(8.47,0.08,0.69)","(10.16,-0.03,0.56)","(11.85,0.05,0.4)","(13.55,-0.05,0.22)","(15.24,-0.02,0.01)","(16.93,-0.06,0)","(18.62,-0.03,0)","(20.32,-0.05,0)",
"(0.0,0.09,1.0)","(1.76,-0.08,0.99)","(3.52,0.04,0.95)","(5.28,-0.05,0.89)","(7.04,0.05,0.8)","(8.8,0.06,0.69)","(10.56,-0.04,0.56)","(12.32,-0.08,0.4)","(14.08,0.09,0.22)","(15.84,-0.03,0.01)","(17.6,-0.07,0)","(19.36,0.08,0)","(21.12,-0.1,0)",
"(0.0,0.07,1.0)","(1.7,0.09,0.99)","(3.41,-0.09,0.95)","(5.11,-0.03,0.89)","(6.82,-0.01,0.8)","(8.52,0.01,0.69)","(10.22,0.02,0.56)","(11.93,0.05,0.4)","(13.63,0.05,0.22)","(15.34,-0.01,0.01)","(17.04,-0.02,0)","(18.74,0.01,0)","(20.45,-0.04,0)",
"(0.0,-0.02,1.0)","(1.99,-0.01,0.99)","(3.99,0.01,0.95)","(5.98,-0.06,0.89)","(7.98,-0.06,0.8)","(9.97,0.07,0.69)","(11.97,0.09,0.56)","(13.96,0.05,0.4)","(15.96,-0.0,0.22)","(17.95,0.08,0.01)","(19.95,0.06,0)","(21.94,-0.06,0)",,
"(0.0,-0.05,1.0)","(2.01,0.05,0.99)","(4.02,0.04,0.95)","(6.03,-0.02,0.89)","(8.04,-0.03,0.8)","(10.04,-0.06,0.69)","(12.05,-0.01,0.56)","(14.06,-0.0,0.4)","(16.07,0.04,0.22)","(18.08,-0.01,0.01)","(20.09,-0.03,0)","(22.1,-0.09,0)",,
"(0.0,-0.01,1.0)","(1.74,-0.05,0.99)","(3.49,-0.01,0.95)","(5.23,0.05,0.89)","(6.98,-0.09,0.8)","(8.72,0.09,0.69)","(10.47,-0.05,0.56)","(12.21,-0.08,0.4)","(13.96,-0.07,0.22)","(15.7,0.04,0.01)","(17.45,0.06,0)","(19.19,-0.06,0)","(20.94,-0.07,0)",
"(0.0,0.03,1.0)","(2.05,0.05,0.99)","(4.1,0.05,0.95)","(6.15,0.03,0.89)","(8.2,-0.04,0.8)","(10.25,0.07,0.69)","(12.3,-0.07,0.56)","(14.35,-0.08,0.4)","(16.4,-0.04,0.22)","(18.45,0.08,0.01)","(20.5,0.04,0)",,,
"(0.0,-0.07,1.0)","(1.73,0.04,0.99)","(3.45,-0.09,0.95)","(5.18,-0.08,0.89)","(6.91,0.02,0.8)","(8.63,0.08,0.69)","(10.36,0.09,0.56)","(12.09,-0.03,0.4)","(13.82,-0.01,0.22)","(15.54,0.06,0.01)","(17.27,-0.09,0)","(19.0,-0.02,0)","(20.72,-0.03,0)",
"(0.0,-0.09,1.0)","(1.69,0.07,0.99)","(3.39,-0.04,0.95)","(5.08,-0.1,0.89)","(6.77,0.09,0.8)","(8.47,-0.06,0.69)","(10.16,0.05,0.56)","(11.86,-0.03,0.4)","(13.55,0.05,0.22)","(15.24,-0.02,0.01)","(16.94,0.06,0)","(18.63,0.04,0)","(20.32,0.03,0)",
"(0.0,0.08,1.0)","(1.92,-0.07,0.99)","(3.85,-0.07,0.95)","(5.77,0.08,0.89)","(7.7,0.0,0.8)","(9.62,-0.03,0.69)","(11.55,0.02,0.56)","(13.47,-0.02,0.4)","(15.39,-0.04,0.22)","(17.32,0.02,0.01)","(19.24,0.04,0)","(21.17,-0.04,0)",,
"(0.0,-0.05,1.0)","(1.9,-0.05,0.99)","(3.81,0.1,0.95)","(5.71,0.04,0.89)","(7.61,0.05,0.8)","(9.51,-0.07,0.69)","(11.42,-0.05,0.56)","(13.32,-0.09,0.4)","(15.22,-0.04,0.22)","(17.13,0.04,0.01)","(19.03,0.04,0)","(20.93,0.06,0)",,
"(0.0,-0.05,1.0)","(2.04,0.05,0.99)","(4.08,0.08,0.95)","(6.11,0.1,0.89)","(8.15,-0.03,0.8)","(10.19,0.06,0.69)","(12.23,0.05,0.56)","(14.26,0.08,0.4)","(16.3,0.06,0.22)","(18.34,0.04,0.01)","(20.38,-0.07,0)",,,
